gene_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
Prom2,0,0,0,0,0,0,0,0,0,0,0,0
Myt1,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap15os,0,0,0,0,0,0,0,0,0,0,0,0
Id1,577,748,715,480,750,257,571,819,874,468,971,678
Tmem62,300,476,367,290,304,123,298,243,247,202,433,411
Raly,3364,3990,3310,2699,2998,1432,3303,3998,4791,2845,6165,3658
Fam129b,2538,2894,2818,2025,2603,1224,2525,4175,5481,3297,8025,2604
Dut,345,451,377,301,328,159,340,599,1012,452,884,419
D630003M21Rik,518,831,820,653,613,296,640,320,437,266,353,797
Itch,2284,2379,2140,1117,1878,1015,1619,2058,2186,1608,3115,2315
Cel,0,8,6,6,0,0,2,4,0,0,5,0
Notch1,3036,2646,2556,2153,2238,1289,2366,2922,2662,1816,5130,3148
Gzf1,829,1066,868,681,774,396,716,759,778,597,1207,973
St6galnac6,2022,2344,1921,1523,1884,864,1748,1453,1789,1126,2216,1991
St6galnac4,518,540,483,412,433,215,430,590,658,385,897,531
Pip5kl1,0,4,0,2,2,0,0,3,0,0,0,0
Olfml2a,125,212,236,259,185,118,150,96,118,53,93,329
Ttc30b,629,677,605,447,518,274,468,411,502,333,574,716
4930402H24Rik,2647,2861,2394,1786,2087,1053,2449,2103,2190,1635,3437,2802
Strc,23,6,8,7,7,2,4,13,10,6,20,15
Set,2532,2578,2336,1537,2324,1197,2413,3787,5229,2890,4659,2556
Ganc,834,924,857,641,721,346,727,737,655,488,1087,919
Emc4,765,921,769,636,702,332,649,797,878,573,1186,874
Rtf1,1667,1982,1706,1295,1427,715,1659,1476,1690,1142,2509,1800
Crat,1717,1787,1497,1301,1587,704,1580,1403,1514,1048,2263,1736
Rspo4,73,39,23,29,42,36,56,48,37,36,100,53
Acvr2a,2275,2650,2216,1663,2137,1123,2126,2032,1770,1605,2626,2709
Optn,294,328,307,220,294,135,276,206,224,216,441,285
Tmem239,0,0,0,0,0,0,0,0,0,0,0,0
1110034G24Rik,170,227,208,178,164,73,159,153,141,98,216,232
Scn1a,0,0,0,0,0,0,2,0,0,0,0,0
Tmem236,2,0,0,0,4,3,0,3,0,2,3,0
Tmem230,626,759,581,428,576,258,490,536,593,401,831,604
Atp5g3,2115,2691,2143,1639,2244,1019,2137,3189,3586,2361,4438,2357
Mcm8,51,81,31,31,41,3,36,109,182,70,165,42
Mir511,0,0,0,0,0,0,0,0,0,0,0,0
Gm16523,7,6,9,2,8,2,9,9,7,8,12,10
Ciz1,1600,1743,1464,1465,1308,616,1310,1467,1692,1128,2727,1669
Mtx2,638,779,587,502,559,261,610,736,851,600,1247,669
Pdrg1,1152,1408,1231,915,979,447,922,1174,1218,749,1859,1361
Muc15,0,0,8,0,0,0,0,0,0,0,0,2
Dnlz,650,752,635,533,554,262,560,680,905,524,1126,614
Pdyn,4,15,6,6,6,0,3,29,57,29,56,8
Cd44,2294,3212,2816,1794,2141,936,1480,3064,6758,4227,5840,2817
Urm1,724,902,804,554,711,305,577,860,919,584,1309,825
Cd40,1480,1523,1263,867,1115,559,1018,898,638,597,1407,1486
L3mbtl1,0,0,0,0,0,0,0,0,0,0,0,0
Rnf114,1255,1497,1333,1035,1219,533,1060,1678,1935,1362,3234,1451
Nutm1,0,0,0,0,0,0,0,0,0,0,0,0
Sec16a,4225,4698,4074,3570,3755,1866,4086,4357,4883,3387,8348,5035
Scai,386,490,355,368,494,203,451,324,369,384,673,434
Rassf2,720,1124,1185,1108,1023,547,1161,885,1053,666,1324,1285
Pcmtd2,1506,1721,1384,1058,1143,731,1186,1060,1059,768,1479,1685
Ncoa3,3361,3707,3083,2655,2771,1467,2985,2527,2559,1995,4740,3491
Ncoa6,2086,2162,1959,1624,1851,902,2204,1805,2060,1606,3489,2311
Ncoa5,1460,1587,1338,1268,1257,556,1250,1329,1517,818,2298,1486
Mir126b,0,0,0,0,0,0,0,0,0,0,0,0
Csnk2a1,2724,3093,2538,2038,2722,1223,2530,2687,3031,2031,4174,2801
Grin1os,0,0,0,0,2,0,0,0,0,0,0,0
Nup35,469,622,526,413,476,198,516,601,723,468,957,542
Defb21,0,0,0,0,0,0,0,0,0,0,0,0
Defb20,0,0,0,0,0,0,0,0,0,0,0,0
Defb23,0,0,0,0,0,0,0,0,0,0,0,0
Defb22,0,0,0,0,0,0,0,0,0,0,0,0
Defb25,14,21,7,9,13,10,13,5,10,5,13,13
